câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Liệu pháp nhắm đích (targeted therapy) khác với hóa trị truyền thống như thế nào?,Chỉ tác động vào tế bào ung thư có đột biến đặc hiệu,Gây ít tác dụng phụ hơn hóa trị,Không ảnh hưởng đến tế bào lành,Cả A và B đều đúng,d
Tế bào nghi ngờ trong Pap smear là:,Tế bào nang,Tế bào gai sừng hóa,Tế bào koilocyte,Tế bào vây bình thường,c
Ki-67 là chỉ số gì trong ung thư vú?,Tỷ lệ phân bào,Mức độ hoại tử,Đáp ứng miễn dịch,Đột biến gen,a
Đặc điểm mô học của ung thư tế bào sáng là gì?,Chứa nhiều tế bào hình đinh ghim,Nhân hình bầu dục - tăng sinh mạnh,Nhân nhỏ - sắp xếp dạng tuyến,Cấu trúc giống ruột,a
Loại u lymphô nào thường gặp nhất?,U lymphô tế bào B lớn lan tỏa (DLBCL),U lymphô Burkitt,U lymphô tế bào T ngoại vi,U lymphô Hodgkin,a
"Trong bệnh Alzheimer, apoptosis bất thường có thể dẫn đến?",Tăng sinh tế bào thần kinh,Mất tế bào thần kinh,Giảm sản xuất amyloid-beta,Tăng myelin hóa,b
"Về mô học, polyp tăng sản có đặc điểm:","Tuyến đồng đều, xếp đều","Tuyến giãn, lượn sóng, không loạn sản",Tế bào dị dạng,Lớp cơ tăng sản,b
Ung thư tuyến giáp phổ biến nhất là:,Ung thư tủy,Ung thư nhú,Ung thư nang,Ung thư không biệt hóa,b
Cơ quan nào dễ bị tổn thương nhất trong sốc?,Gan,Thận,Não,Tất cả các đáp án trên,d
Bệnh nào sau đây thuộc bệnh học huyết học?,Bệnh bạch cầu,Bệnh tim mạch,Bệnh phổi,Bệnh thận,a
Loét trong Crohn có thể:,Nông dọc theo niêm mạc,Ăn sâu xuyên thành ruột,Giới hạn ở biểu mô,Không loét,b
U nhú thanh quản do:,Virus HPV type 6 và 11,Virus EBV,Nhiễm trùng vi khuẩn,Di truyền,a
Yếu tố nguy cơ chính gây HCC:,"Nhiễm HBV, HCV, xơ gan",Sỏi mật,Rượu cấp,Nhiễm vi khuẩn HP,a
Hệ thống TNM phân loại ung thư dựa trên yếu tố nào?,Độ biệt hóa tế bào,Kích thước khối u di căn hạch di căn xa,Tuổi bệnh nhân,Phản ứng viêm của mô xung quanh,b
Phối hợp xét nghiệm HPV và Pap smear gọi là:,Biopsy,Co-testing,Triple test,Dual scan,b
Một bệnh nhân ung thư vú ba âm tính giai đoạn tiến triển có biểu hiện PD-L1 dương tính. Điều trị nào phù hợp nhất?,Hóa trị + Pembrolizumab,Tamoxifen,Xạ trị đơn thuần,Liệu pháp nội tiết,a
Loại u nào chiếm tỷ lệ cao nhất trong u buồng trứng?,U tế bào mầm,U biểu mô,U dây sinh dục – mô đệm,U di căn,b
Viêm hạch lymphô là gì?,Sự tăng sinh ác tính của hạch lymphô,Tình trạng viêm của hạch bạch huyết,Thoái hóa mỡ trong hạch bạch huyết,Rối loạn miễn dịch của hệ bạch huyết,b
Loại hoại tử phổ biến trong nhồi máu cơ tim là?,Hoại tử đông,Hoại tử lỏng,Hoại tử mỡ,Hoại tử hoại thư,a
Biến chứng thường gặp của ung thư dạ dày:,Tăng tiết gastrin,"Hẹp môn vị, thủng, xuất huyết",Trào ngược dạ dày thực quản,Loét,b
Biểu hiện chính của phình giáp đơn thuần:,"Sốt cao, đau vùng cổ","Tuyến giáp to, không đau, không rối loạn chức năng",Tuyến giáp teo nhỏ,Tăng hormon T3-T4,b
Nhồi máu trắng thường gặp ở cơ quan nào sau đây?,Phổi,Ruột,Thận,Cơ vân,c
Kỹ thuật FNAC (chọc hút tế bào bằng kim nhỏ) thường được sử dụng để chẩn đoán:,Ung thư tuyến giáp,Ung thư máu,Bệnh Alzheimer,Bệnh nhiễm trùng,a
Viêm đại tràng giả mạc thường do:,Nhiễm Salmonella,Clostridium difficile,Virus EBV,Viêm gan,b
Hang lao hình thành do:,Viêm phế nang,Nang bã đậu vỡ vào phế nang,"Nang lao gặm vào phế quản, chất hoại tử được dẫn lưu ra ngoài",Sự tích tụ dịch trong phổi,c
Cholangiocarcinoma thường xuất hiện ở:,Trong lòng ruột,Tế bào Kupffer,Biểu mô ống mật trong và ngoài gan,Đại tràng,c
Một khối u có di căn xa sẽ được xếp loại TNM ở mức độ nào?,T1,N0,M1,G1,c
HPV lây truyền chủ yếu qua:,Máu,Dịch tiểu hoá,Quan hệ tính dục,Hít phải giọt bắn,c
Chỉ định nào phù hợp nhất cho liệu pháp ức chế CDK4/6 (như palbociclib)?,Ung thư vú ba âm tính,HER2 dương tính,ER dương tính HER2 âm tính,Không có thụ thể nội tiết,c
Khi nào cần chỉ định liệu pháp PARP inhibitors (Olaparib)?,Khi có đột biến BRCA,Khi bệnh nhân không đáp ứng hóa trị,Khi u có kích thước lớn,Khi bệnh nhân không có triệu chứng,a
Trong u lymphô tế bào B lớn lan tỏa (DLBCL) và xét nghiệm nào giúp phân biệt giữa các phân nhóm tiên lượng?,Xét nghiệm gen MYC và BCL2 và BCL6,Đo hoạt độ men LDH,Soi tủy đồ,Miễn dịch hóa mô CD4 và CD8,a
Tích tụ lipid trong tế bào thường gặp nhất ở cơ quan nào?,Phổi,Gan,Thận,Tim,b
Tổn thương mô học đặc trưng trong viêm dạ dày cấp:,Hoại tử bã đậu,Tăng sản tuyến đáy,"Phù nề, sung huyết, thấm nhập bạch cầu trung tính",Tăng mô cơ,c
Ung thư giáp liên quan hội chứng MEN 2:,Ung thư nhú,Ung thư nang,Ung thư tủy,Ung thư không biệt hóa,c
"Trong điều trị DIC, mục tiêu quan trọng nhất là?",Truyền tiểu cầu ngay lập tức,Điều trị nguyên nhân gây DIC,Giảm sản xuất fibrinogen,Kích hoạt đông máu thêm,b
Ai là người được coi là cha đẻ của giải phẫu học?,Galen,Andreas Vesalius,Hippocrates,Avicenna,b
Ung thư đại tràng bên phải thường gây:,Táo bón,"Thiếu máu, khối u không đau",Tắc nghẽn cấp,Viêm tụy,b
U nhú thanh quản có thể:,Không tái phát,Chuyển dạng ác tính hiếm gặp,Không gây biến chứng,Không cần điều trị,b
Viêm gan siêu vi C mạn thường diễn tiến âm thầm và dễ gây:,Viêm túi mật,Gan nhiễm mỡ,Xơ gan và ung thư gan tế bào nhỏ,Viêm tụy,c
Phương pháp nào được coi là tiêu chuẩn vàng trong chẩn đoán ung thư?,Xét nghiệm máu,Sinh thiết mô,Chụp CT,Xét nghiệm dấu ấn khối u,b
Trong bệnh lý thần tứ cung tình trạng nào có thể gây từ cung không phải ư?,Polyp,Viêm cấp,Adenomyosis,Tăng sản tuyến,c
Loại ung thư vú nào có khuynh hướng lan rộng nhưng khó phát hiện trên hình ảnh học?,Ung thư ống tuyến xâm lấn,Ung thư tiểu thùy xâm lấn,Ung thư vú ba âm tính,Ung thư biểu mô nhầy,b
Loại u buồng trứng nào đang có thử nghiệm liệu pháp miễn dịch?,Ung thư thanh dịch độ cao,U tế bào mầm,U quái trưởng thành,U nhầy,a
Liệu pháp điều trị nhắm trúng đích trong bệnh bạch cầu dòng tủy mạn (CML) sử dụng thuốc nào?,Imatinib,Methotrexate,Rituximab,Vincristine,a
Thiếu máu cục bộ gây tổn thương tế bào chủ yếu do?,Giảm sản xuất ATP,Rối loạn tổng hợp ADN,Tăng tổng hợp protein,Giảm hấp thu glucose,a
Ung thư dạ dày dạng ruột tiến triển theo:,Giai đoạn tuyến tính rõ rệt (in situ → xâm nhập),Tăng sinh cơ học,Ung thư mạch máu,Không phân biệt được,a
Dạng đặc biệt của u tuyến giáp lành:,U Hurthle,U gai,U mô đệm,U thần kinh,a
Xét nghiệm sinh hóa lâm sàng có thể giúp phát hiện:,Bệnh tim mạch,Rối loạn nội tiết,Rối loạn chức năng thận,"Cả A, B và C",d
Viêm đại tràng do thiếu máu mô học cho thấy:,"Hoại tử biểu mô, xuất huyết niêm mạc, viêm nhẹ",U hạt,Tăng sản tuyến,Viêm bạch cầu ái toan,a
Loại ung thư phổi nào thường gây hội chứng cận u (paraneoplastic syndrome)?,Carcinôm tế bào nhỏ,Carcinôm tuyến,Carcinôm tế bào vảy,Sarcom,a
Ung thư biểu mô tuyến (adenocarcinoma) có nguồn gốc từ:,Tế bào trung mô,Tế bào biểu mô tuyến,Tế bào máu,Tế bào thần kinh,b
Vaccine HPV hiệu quả nhất khi:,Sau sinh con,Sau 40 tuổi,Trước khi quan hệ tính dục,Sau khi có HPV,c
Một bệnh nhân nữ 35 tuổi được chẩn đoán ung thư vú giai đoạn II có ER dương tính HER2 âm tính. Liệu pháp nào được ưu tiên sau phẫu thuật?,Xạ trị đơn thuần,Hóa trị + Tamoxifen,Chỉ theo dõi định kỳ,Chỉ hóa trị,b
U nào có tiên lượng tốt nhất trong nhóm u tế bào mầm?,U quái không trưởng thành,U loạn sản,U túi noãn hoàng,U quái trưởng thành,d
Hội chứng HLH là gì?,Rối loạn tự miễn làm tiêu hủy hạch lymphô,Kích hoạt quá mức của đại thực bào và tế bào T độc,Quá trình xơ hóa hạch lymphô toàn thân,Sự tăng sinh ác tính của tế bào B,b
Đặc điểm giúp phân biệt polyp lành – ác:,Màu sắc,Loại tuyến,Loạn sản tế bào và phân bào bất thường,Vị trí,c
Hormon tuyến giáp được tiết ra chủ yếu từ loại tế bào nào?,Tế bào C,Tế bào thần kinh đệm,Tế bào nang,Tế bào lympho,c
"Lý thuyết ""tế bào là đơn vị cơ bản của sự sống"" do ai đề xuất?",Rudolf Virchow,Matthias Schleiden và Theodor Schwann,Louis Pasteur,Robert Koch,b
Lồng ruột là hiện tượng:,Khối u phát triển trong ruột,Một đoạn ruột chui vào lòng đoạn kế cận,Sỏi mật di chuyển,Viêm túi mật,b
Đặc điểm mô học trong xơ phổi vô căn:,Viêm cấp tính,Hình ảnh tổ ong với các vùng xơ hóa thay đổi theo thời gian,Tăng sinh tế bào lympho,U hạt hoại tử,b
U nào dưới đây có khả năng di căn cao nhất?,U xơ (fibroma),U mỡ (lipoma),Ung thư biểu mô tuyến (adenocarcinoma),U xương lành tính (osteoma),c
HPV có thể lây khi dùng chung:,Bàn chải đánh răng,Khăn mặt,Dỏ lót,Dỏ ăn,c
Ung thư vú dạng nào có tiên lượng tốt nhất?,Ung thư dạng tủy,Ung thư thể ống tuyến nhỏ,Ung thư thể nhầy,Ung thư vú ba âm tính,b
Liệu pháp miễn dịch nào đang được thử nghiệm cho ung thư buồng trứng?,Pembrolizumab,Rituximab,Tamoxifen,Vincristine,a
Hội chứng thực bào lymphô-histiocyte máu (HLH) có thể dẫn đến biến chứng nào nghiêm trọng nhất?,Suy đa tạng,Viêm hạch lymphô khu trú,Tăng bạch cầu ái toan,Giảm ferritin máu,a
Chẩn đoán xác định ung thư dạ dày dựa trên:,Hình ảnh X-quang,Siêu âm,Nội soi và sinh thiết giải phẫu bệnh,Xét nghiệm máu,c
U tuyến giáp biệt hóa kém nhất:,Ung thư nhú,Ung thư nang,Ung thư tủy,Ung thư không biệt hóa,d
Bệnh tự miễn nào sau đây có thể được chẩn đoán bằng bệnh học miễn dịch?,Lupus ban đỏ hệ thống,Bệnh tiểu đường type 2,Bệnh Alzheimer,Bệnh lao,a
"Trong viêm đại tràng collagen, đặc điểm là:",Thấm nhập lympho biểu mô,Lắng đọng lớp collagen dưới biểu mô dày >10 micron,Hoại tử bã đậu,U hạt,b
"Trong xẹp phổi tắc nghẽn, phổi bị:",Phồng to,Bị ép từ ngoài vào,Mất khí do tắc nghẽn lòng phế quản,Thoát dịch ra ngoài,c
Yếu tố nào quyết định mức độ ác tính của một khối u?,Độ biệt hóa tế bào,Tốc độ phát triển,Khả năng xâm lấn và di căn,Tất cả các yếu tố trên,d
Viêm nội mạc tử cung mạn tính thường có tế bào viêm nào đặc trưng?,Bạch cầu da nhân,Tế bào mast,Tương bào,Bạch cầu ái toàn,c
Giai đoạn III của ung thư vú đặc trưng bởi điều gì?,Di căn xa,Xâm lấn da thành ngực hoặc hạch nách cố định,Giới hạn trong tuyến vú,Không xâm lấn hạch,b
Yếu tố nguy cơ lớn nhất của ung thư buồng trứng là gì?,Sinh con nhiều,Đột biến BRCA1/2,Hút thuốc lá,Sử dụng thuốc tránh thai,b
Đặc điểm mô học của viêm hạch lymphô cấp không đặc hiệu?,Trung tâm mầm lớn với thâm nhiễm bạch cầu trung tính,Xơ hóa lan tỏa hạch lymphô,Hoại tử đông đặc trung tâm hạch,Sự tăng sinh quá mức của tế bào mast,a
Viêm dạ dày mạn vùng thân vị thường dẫn đến:,Viêm tụy,Dị sản ruột,Hội chứng Zollinger-Ellison,Trào ngược dạ dày,b
Marker miễn dịch dương tính trong ung thư tủy:,Thyroglobulin,TTF-1,Calcitonin,CK7,c
Ai được xem là cha đẻ của miễn dịch học?,Louis Pasteur,Paul Ehrlich,Robert Koch,Edward Jenner,b
Viêm loét đại tràng giới hạn ở:,Ruột non,Hồi manh tràng,Đại tràng và trực tràng,Dạ dày,c
Polyp mũi thường là:,U ác tính,U mạch máu,"U lành, do viêm mạn tính",Ung thư biểu mô,c
Polyp là gì?,U dạng nang,U biểu mô có cấu trúc nhánh,Khối u nhô lên trên bề mặt niêm mạc,U xương lành tính,c
Vị thế của u cơ trơn cho thấy tế bào?,Hình trộn nhân nhỏ,Hình thoi nhân bầu dục ít phân báo,Nhân dị dạng phân báo cao,Bào tương ưa bazô,b
CA 15-3 là dấu ấn sinh học dùng để làm gì trong ung thư vú?,Sàng lọc sớm,Chẩn đoán xác định,Theo dõi tái phát,Đánh giá đáp ứng điều trị,c
Dấu hiệu nào giúp phân biệt u buồng trứng lành tính với ác tính trên siêu âm?,Kích thước khối u,Bờ không đều - có vách dày - tăng sinh mạch,Dịch trong nang,Không có triệu chứng,b
Đặc điểm của viêm hạch lymphô mạn?,Hạch sưng và đỏ đau,Hạch to kéo dài và ít đau,Hạch nhỏ lại sau vài ngày,Hoại tử nhanh chóng,b
Ung thư dạ dày giai đoạn muộn thường xâm nhập:,Lớp thanh mạc và lan theo mạch máu- bạch huyết,Chỉ lớp niêm mạc,Lớp dưới niêm,Lớp cơ niêm,a
Dạng tế bào nào có thể gặp trong u tuyến lành:,Tế bào gai,Tế bào Hurthle,Tế bào dị sản ác,Tế bào lympho tăng sản,b
Người đầu tiên mô tả quá trình viêm là:,Hippocrates,Rudolf Virchow,Celsus,Galen,c
Phân biệt mô học ung thư tuyến biệt hóa tốt:,Không tạo tuyến,"Tạo tuyến rõ, xâm nhập mô đệm",Tạo nang,Biểu mô lát,b
Carcinôm tế bào nhỏ phổi có tiên lượng:,Rất tốt,Trung bình,"Rất xấu, thường chết trong vòng 1 năm nếu không điều trị",Không thay đổi theo giai đoạn,c
Tác dụng phụ phổ biến nhất của hóa trị là gì?,Suy giảm miễn dịch,Gây tổn thương thận,Giảm huyết áp,Gây loãng xương,a
Tỉ lệ phụ nữ mắc lạc nội mạc tử cung trong độ tuổi sinh sản là?,1-2%,5-15%,25-35%,50%,b
Chỉ định nào phù hợp nhất cho liệu pháp miễn dịch với Pembrolizumab?,HER2 dương tính,ER dương tính,Triple-negative với biểu hiện PD-L1,Ung thư vú tại chỗ,c
Nghiên cứu hiện nay đang tập trung vào yếu tố nào để phát hiện sớm ung thư buồng trứng?,Dấu ấn sinh học mới,Xét nghiệm glucose máu,Chế độ ăn uống,Giảm cân,a
Dấu hiệu đặc trưng của u lymphô Hodgkin là?,Tế bào Reed-Sternberg,Hoại tử trung tâm hạch,Sự xâm nhập bạch cầu trung tính,Xơ hóa mạch máu,a
Viêm dạ dày cấp thường do nguyên nhân:,Thiếu máu,Tăng huyết áp,"Rượu, NSAIDs, stress nặng",Sỏi mật,c
Ung thư tuyến giáp có tiên lượng tốt nhất:,Ung thư tủy,Ung thư nhú,Ung thư không biệt hóa,Ung thư nang xâm lấn mạnh,b
Người đặt nền móng cho bệnh học tế bào là:,Rudolf Virchow,Louis Pasteur,Paul Ehrlich,Joseph Lister,a
Ung thư đại tràng thường phát sinh từ:,Mô liên kết,Tế bào lympho,Polyp tuyến có loạn sản,Dị sản vảy,c
Loại khí phế thủng liên quan đến hút thuốc lá:,Trung tâm tiểu thùy,Toàn tiểu thùy,Ngoại vi,Cục bộ,a
Dấu ấn ung thư nào được sử dụng để theo dõi ung thư tuyến tiền liệt?,CEA,CA-125,PSA,AFP,c
Vị thế mô đếm polyp thường có đặc điểm:,Teo dét không mạch máu,Giâu tương báo,Phù nề sung huyết,Có bạch cầu da nhân,c
Yếu tố nào KHÔNG làm tăng nguy cơ ung thư vú?,Dậy thì sớm,Mãn kinh muộn,Tập thể dục thường xuyên,Tiền sử xạ trị vùng ngực,c
Bevacizumab là liệu pháp nhắm vào yếu tố nào?,VEGF,EGFR,HER2,CD20,a
Yếu tố tiên lượng quan trọng nhất trong u lymphô không Hodgkin là?,Chỉ số IPI (International Prognostic Index),Mức độ xâm lấn hạch lymphô,Tình trạng miễn dịch bệnh nhân,Số lượng bạch cầu trung tính,a
Viêm dạ dày mạn type A liên quan đến:,Nhiễm H. pylori,Tự miễn chống tế bào thành dạ dày,Vi rút,Tăng acid,b
Bệnh lý nào do không phát triển mầm tuyến giáp?,Phình giáp,Cường giáp,Vô tạo tuyến giáp,Viêm giáp Hashimoto,c
Hình thái tế bào trong bệnh học tế bào học được đánh giá bằng:,Kính hiển vi điện tử,Kính hiển vi quang học,Cả A và B,Chụp X-quang,c
Polyp viêm thường xuất hiện:,Trong viêm loét đại tràng mạn,Ung thư gan,Crohn sớm,Lao ruột,a
Carcinôm vòm hầu liên quan đến:,HPV,Virus Epstein-Barr (EBV),Vi khuẩn,Nấm mốc,b
Một bệnh nhân có ung thư buồng trứng nhiều khả năng khối u sẽ lan qua con đường nào?,Hệ bạch huyết,Xâm nhập mạch máu,Lan rộng qua khoang phúc mạc,Trực tiếp xâm lấn qua cơ quan kế cận,c
Polyp có trong cố tử cung thường xuất hiện ở:,Trẻ em,Phụ nữ sau mãn kinh,Nam giới,Phụ nữ tuổi sinh sản,d
Một bệnh nhân trẻ phát hiện BRCA1 đột biến lựa chọn dự phòng nào hợp lý nhất?,Theo dõi định kỳ,Hóa trị dự phòng,Cắt bỏ tuyến vú dự phòng,Liệu pháp miễn dịch,c
Phương pháp điều trị chính cho ung thư buồng trứng giai đoạn sớm?,Xạ trị,Hóa trị,Phẫu thuật,Liệu pháp miễn dịch,c
Tổn thương mô học điển hình của bệnh bạch cầu dòng tủy mạn (CML) là gì?,Tăng sinh dòng bạch cầu hạt,Thâm nhiễm tế bào plasma,Hoại tử lan tỏa,Tăng sinh mô xơ trong tủy xương,a
Vị trí loét dạ dày hay gặp nhất:,Vùng đáy vị,Mặt trước bờ cong nhỏ vùng thân vị gần môn vị,Bờ cong lớn,Vùng tâm vị,b
Viêm tuyến giáp bán cấp điển hình có đặc điểm mô học:,U hạt khổng lồ,Thâm nhiễm eosin,Xơ hóa toàn phần,Vùi nhân ác tính,a
Bệnh học miễn dịch chủ yếu nghiên cứu:,Tế bào ung thư,Hệ miễn dịch,Vi khuẩn,Tế bào thần kinh,b
Phương pháp chẩn đoán xác định:,Siêu âm,Xét nghiệm máu,Nội soi đại tràng + sinh thiết mô học,Xquang,c
Biểu hiện mô học của xẹp phổi lâu ngày:,Phế nang giãn,Dày vách phế nang và xơ hóa,Hoại tử,Tăng sinh biểu mô tuyến,b
Sarcoma thường lan truyền theo con đường nào?,Hệ bạch huyết,Đường máu,Khoang cơ thể,Không di căn,b
Biểu hiện đại thể thường thấy của tử cung trong adenomyosis là?,Nhỏ gọn và mềm,Dạng nước rỗ rết,To ra với cơ dạng bề mềm,Loét và chảy máu rỗ,c
Liệu pháp nội tiết nào được sử dụng cho ung thư vú ER dương tính?,Trastuzumab,Tamoxifen,Cisplatin,Paclitaxel,b
U buồng trứng phát sinh từ loại tế bào nào?,Tế bào cơ,Tế bào nội mô,Tế bào biểu mô - tế bào mầm và mô đệm,Tế bào thần kinh,c
Lymphoma là gì?,Bệnh lý ác tính của tế bào lympho,Viêm hạch lymphô mạn tính,Rối loạn miễn dịch nhẹ,Nhiễm trùng hạch bạch huyết,a
Polyp dạ dày có kích thước nhỏ thường:,Di căn xa,Tự thoái lui hoặc ổn định,Tạo ổ áp xe,Gây thủng dạ dày,b
Bọc ống giáp - lưỡi có thể phát hiện ở tuổi nào?,Chỉ ở sơ sinh,Chỉ ở người lớn,Mọi lứa tuổi,Thường ở tuổi dậy thì,c
Phân ngành nào của bệnh học giúp phân tích sự thay đổi trong mô bệnh?,Bệnh học mô học,Bệnh học hóa học,Bệnh học pháp y,Bệnh học miễn dịch,a
Biến chứng nguy hiểm của viêm loét đại tràng mạn:,Viêm tụy,Ung thư biểu mô tuyến đại tràng,Sỏi mật,Polyp viêm,b
Viêm phế quản mạn được chẩn đoán khi ho có đờm kéo dài:,1 tuần,1 tháng,3 tháng mỗi năm trong ít nhất 2 năm liên tiếp,Suốt mùa đông,c
Con đường lan truyền phổ biến nhất của carcinoma là:,Qua hệ bạch huyết,Qua máu,Qua khoang cơ thể,Qua dây thần kinh,a
Viêm nội mạc tử cung thường xảy ra sau các tính huống nào?,Mãn kinh,Quan hệ tính dục lần đầu,Sau sinh sảy thai hoặc thủ thuật buông từ cung,Phẫu thuật vú,c
Đột biến BRCA1 và BRCA2 làm tăng nguy cơ mắc ung thư vú lên bao nhiêu lần so với dân số chung?,2–5 lần,5–10 lần,10–20 lần,Không liên quan đến nguy cơ ung thư vú,b
Đột biến TP53 thường gặp trong?,Ung thư thanh dịch độ cao,Ung thư nội mạc tử cung,U tế bào mầm,U dây sinh dục – mô đệm,a
Chuyển đoạn t(14;18) thường gặp trong loại u lymphô nào?,U lymphô nang (Follicular lymphoma),U lymphô Hodgkin,Bệnh bạch cầu lymphô cấp tính (ALL),U lymphô tế bào T,a
Mô học của loét dạ dày mạn:,Chứa mủ,Bạch cầu trung tính,Biểu mô lát tầng hóa sừng,"Mô hạt, xơ hóa, thâm nhiễm tế bào viêm mạn",d
Ung thư tủy tuyến giáp phát sinh từ:,Tế bào nang,Tế bào Hurthle,Tế bào C,Tế bào mô đệm,c
Công nghệ nào đã mở ra kỷ nguyên bệnh học phân tử?,Kính hiển vi điện tử,Phản ứng chuỗi polymerase (PCR),Nhuộm H&E,Xét nghiệm miễn dịch,b
Mô học polyp viêm:,Tuyến loạn sản,"Mô viêm, niêm mạc tái tạo không đồng đều",Tế bào hình nhẫn,U hạt,b
Viêm phổi thùy phổi thường xảy ra ở:,Trẻ sơ sinh,Người cao tuổi,"Một thùy phổi, thường là thùy trên",Cả hai bên phổi cùng lúc,c
Dấu ấn khối u CA-125 được sử dụng để theo dõi ung thư nào?,Ung thư đại tràng,Ung thư tuyến tiền liệt,Ung thư buồng trứng,Ung thư gan,c
Yếu tố nào kích thích u cơ trơn phát triển?,Progesterone,Estrogen,Androgen,Insulin,b
Xét nghiệm nào có thể giúp xác định nguy cơ di truyền ung thư vú?,Định lượng ER PR,Phân tích BRCA1/BRCA2,Chụp nhũ ảnh,Xét nghiệm CA 125,b
Biến chứng phổ biến của ung thư buồng trứng giai đoạn tiến triển?,Cổ trướng,Tắc ruột,Tràn dịch màng phổi,Tất cả các đáp án trên,a
"Triệu chứng ""B symptoms"" trong lymphoma bao gồm?",Sốt và đổ mồ hôi đêm và giảm cân không rõ nguyên nhân,Ho dai dẳng và mệt mỏi và phát ban,Đau khớp và gan lách to và phù nề,Tiêu chảy kéo dài và đau bụng và sụt cân,a
Loại ung thư dạ dày phổ biến nhất:,Sarcoma,Ung thư biểu mô tuyến (adenocarcinoma),Ung thư tế bào gai,U lympho,b
U tuyến giáp lành tính phổ biến nhất là:,U nang,U tuyến nang (follicular adenoma),U nhú,U mỡ,b
Xét nghiệm tế bào học nào được dùng rộng rãi để phát hiện ung thư cổ tử cung?,FNAC,Xét nghiệm Pap,Hóa mô miễn dịch,PCR,b
Trong viêm đại tràng lympho:,Nhiều bạch cầu trung tính,Lắng đọng collagen,Lympho thấm nhập lớp biểu mô >20 tế bào/100 tế bào biểu mô,Mô xơ,c
Hen phế quản đặc trưng bởi:,Phản ứng viêm cấp,Quá mẫn type I (dị ứng),Nhiễm khuẩn thứ phát,Viêm mô kẽ,b
CIN III còn được gọi là:,Carcinoma tuyến,CIN độ I,Carcinoma tại chổ,Carcinoma xâm lấn,c
Phẫu thuật nào được áp dụng cho bệnh nhân ung thư vú giai đoạn sớm?,Cắt bỏ toàn bộ tuyến vú,Phẫu thuật bảo tồn vú,Hóa trị đơn thuần,Liệu pháp miễn dịch,b
Phương pháp nào có tiềm năng phát hiện sớm ung thư buồng trứng trong tương lai?,Liquid biopsy,Xét nghiệm glucose máu,Nội soi tử cung,Chụp X-quang bụng,a
Xử trí polyp dạ dày nghi ngờ ác tính:,Theo dõi mỗi 5 năm,Uống kháng sinh,Cắt bỏ nội soi để làm giải phẫu bệnh,Điều trị nội khoa,c
Điều trị phình giáp đơn thuần chủ yếu là:,Phẫu thuật,Iod phóng xạ,Bổ sung iod,Corticoid,c
Yếu tố nào dưới đây không liên quan đến bệnh học tế bào học?,FNAC,Xét nghiệm Pap,Giải trình tự gen,Nhuộm Papanicolaou,c
Triệu chứng sớm của ung thư đại tràng:,Đau ngực,"Táo bón, đi ngoài ra máu, mệt mỏi",Vàng da,Khó nuốt,b
U nhú thanh quản liên quan đến virus nào?,HPV type 16 và 18,HPV type 6 và 11,EBV,CMV,b
Vị trí phổ biến nhất của polyp là?,Eo tử cung,Đáy tử cung,Cổ tử cung,Đáy chảng rộng,b
Chỉ số nào có thể giúp đánh giá nguy cơ tái phát trong ung thư vú ER dương tính?,HER2,Oncotype DX,CA 19-9,AFP,b
Một phụ nữ trẻ có khối u buồng trứng và AFP tăng cao. Chẩn đoán phù hợp nhất?,Ung thư nội mạc tử cung,U tế bào sáng,U túi noãn hoàng,U quái trưởng thành,c
Viêm dạ dày mạn type B phổ biến nhất do:,Stress,Rượu,H. pylori,Tự miễn,c
Đặc điểm mô học nào dưới đây KHÔNG phù hợp với phình giáp đơn thuần:,"Nang giáp đồng đều, không dị sản",Lòng nang chứa nhiều keo,Tăng sinh hỗn hợp nang và mô đệm,Hình ảnh vùi nhân điển hình,d
Kỹ thuật nào sau đây giúp phát hiện các protein đặc hiệu trong mô bệnh?,PCR,Hóa mô miễn dịch,Chụp cộng hưởng từ,Điện di protein,b
Tắc ruột cơ học thường do:,Thiếu máu,"U, dính ruột, xoắn ruột",Bệnh tim,Viêm gan,b
Nguyên nhân thường gặp nhất của xẹp phổi tắc nghẽn là:,U mạch máu,Dị dạng phổi bẩm sinh,Ung thư phế quản,Tràn khí màng phổi,c
Đường đi cấn phổ biến của ung thư nội mạc là?,Hạch nách,Hạch cổ,Hạch chậu hạch ben,Hạch cổ tử cung,c
Độ mô học nào có tiên lượng xấu nhất trong ung thư vú?,Độ 1,Độ 2,Độ 3,Không liên quan đến tiên lượng,c
Ung thư buồng trứng có tỷ lệ tử vong cao nhất trong nhóm nào?,Ung thư cổ tử cung,Ung thư nội mạc tử cung,Ung thư buồng trứng,Ung thư âm đạo,c
Loại ung thư dạ dày có tiên lượng xấu nhất:,Carcinôm tuyến dạng ruột,Carcinôm tuyến dạng lan tỏa,Lymphoma,Polyp ác tính,b
Dạng mô học phổ biến của phình giáp đơn thuần:,Tăng sản nang,U nhú,Dị sản gai,Hoại tử mỡ,a
"Trong thời kỳ tiền sử,nguyên nhân gây bệnh thường được gán cho:",Vi khuẩn,Sự trừng phạt của các vị thần,Di truyền học,Môi trường ô nhiễm,b
Tắc ruột gây thiếu máu cục bộ dẫn đến:,Viêm loét,Viêm ruột hoại tử,Viêm phế quản,Tắc mật,b
